created_at,text
Sat May 18 09:59:51 +0000 2019,@levetrage @cyber_hokie @HumanityDAO Might become formal standards when we have enough humans. We can vote on chain in a democracy.
Sat May 18 14:47:40 +0000 2019,@bneiluj @HumanityDAO @Onfido @polkadotnetwork Yea we need all sorts of systems to onboard people who aren’t in the… https://t.co/r7MwhKqlCN
Sat May 18 14:49:57 +0000 2019,@bneiluj @HumanityDAO @Onfido @polkadotnetwork Good people who don’t have Twitter can join Twitter and join the gra… https://t.co/2u2YgKDz8t
Sat May 18 14:51:54 +0000 2019,"@bneiluj @HumanityDAO @Onfido @polkadotnetwork @StakeCapital Cool, thanks!"
Sat May 18 14:53:44 +0000 2019,@bneiluj @HumanityDAO @Onfido @polkadotnetwork Idk Discord verification or something? If an important person wants… https://t.co/mhrmKIRkGB
Sat May 18 15:09:53 +0000 2019,"I’m not perfect, let me be clear. I’m signaling cooperate and playing cooperate. I’m flawed in real life. Important… https://t.co/cvpAioe6VO"
Sat May 18 15:41:11 +0000 2019,"If you’re on the registry we’re preparing a blog post about how you can cooperate. I know you’re confused, sit tight."
Sat May 18 15:42:46 +0000 2019,For now please don’t sell the voting tokens
Sat May 18 16:10:17 +0000 2019,.@saifedean would you agree human consensus is clearly better than Bitcoin?
Sat May 18 16:31:31 +0000 2019,The thing Satoshi tried to teach you was intellectual honesty. Many in the Bitcoin and Ethereum crowd didn’t get that. That was the insight.
Sat May 18 19:01:46 +0000 2019,"Ethereum people, if @HumanityDAO works (unproven) just rip it and you have PoS."
Sat May 18 19:01:46 +0000 2019,Block validators are added through bootstrapped web of trust. The system is better decentralized. Add lots of nodes.
Sat May 18 19:01:46 +0000 2019,Block proposers pay a fee in the native token (ETH) and validators vote in the same setup we have but obviously much faster.
Sat May 18 19:01:47 +0000 2019,Validators are incentivized to cooperate and choose good blocks because it’s iterated prisoner’s dilemma. The valid… https://t.co/pzzr6tgHxz
Sat May 18 19:01:47 +0000 2019,Curious to hear thoughts.
Sat May 18 19:14:20 +0000 2019,@VitalikButerin @VladZamfir
Sat May 18 19:23:19 +0000 2019,@kacperwikiel @HumanityDAO It’s Sybil resistant because Sybils (attackers) must pay to play. DAO rejects them every… https://t.co/QCRIVm3tMd
Sat May 18 19:24:00 +0000 2019,"@kacperwikiel @HumanityDAO The proposal fee of the fake is lost. Easy decision to reject. Check humans, no fakes."
Sat May 18 19:25:14 +0000 2019,@kacperwikiel @HumanityDAO Requires 50% of supply to be locked up in governance. Trolls can’t defeat.
Sat May 18 19:26:29 +0000 2019,@kacperwikiel @HumanityDAO Current setup isn’t perfect because we didn’t realize this.
Sat May 18 19:28:38 +0000 2019,@kacperwikiel @HumanityDAO To be clear the DAO in Humanity is humans. If everyone cooperates it’s strong agains Syb… https://t.co/PxVa3Sd9EL
Sat May 18 19:33:13 +0000 2019,@kacperwikiel @HumanityDAO You can delegate your stake to someone to vote. I don’t have time right now so haven’t b… https://t.co/CLazlZEUM8
Sat May 18 19:33:50 +0000 2019,@kacperwikiel @HumanityDAO But yea the system has free rider problems. Someone needs to be online to vote. Has been… https://t.co/TtoihKZQpN
Sat May 18 19:35:56 +0000 2019,@kacperwikiel @HumanityDAO As a HUM holder I’m definitely down to pay voters to do their job. Hopefully would be co… https://t.co/XerO8yMFXf
Sat May 18 19:36:51 +0000 2019,@kacperwikiel @HumanityDAO If the person I delegate to plays incorrectly I’ll move my service to someone else.
Sat May 18 19:36:51 +0000 2019,@kacperwikiel @HumanityDAO If the person I delegate to plays incorrectly I’ll move my service to someone else.
Sat May 18 20:33:36 +0000 2019,Also just looks objectively similar. Applicants is mempool humans is blocks. Maybe can tweak if we messed up.
Sun May 19 01:14:52 +0000 2019,PoS: publicly identify yourself and a bunch of your legit competitors. Cooperate for rewards.
Sun May 19 01:55:38 +0000 2019,"Blockchains have unknown rounds, equilibrium is cooperate"
Sun May 19 05:20:26 +0000 2019,"Signal cooperate, play cooperate @HumanityDAO. It feels good, will get us to 10K quickly, then I’ll let you guys fi… https://t.co/D48oQYVNUZ"
Sun May 19 05:20:27 +0000 2019,Let in people who differ from you philosophically as long as they act in good faith. The system will evolve better… https://t.co/2hQhhFucLg
Sun May 19 06:16:54 +0000 2019,.@VitalikButerin @VladZamfir the humans deserve answers! I know you guys realized this two days before me.
Sun May 19 06:20:45 +0000 2019,.@VitalikButerin especially for siding with moonboy trolls in ethtrader. Incentives!
