time,text
Tue May 21 00:30:18 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO WHAT CAN I DO TO MAKE IT SOUND FUN… https://t.co/QgxllpjtEl
Tue May 21 00:31:42 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO https://t.co/qmLnh7SuGA
Tue May 21 00:32:28 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO IF I AM CRAZY WHY IS NO ONE (EXCEP… https://t.co/zXJ3rHfyFi
Tue May 21 00:33:25 +0000 2019,@nanexcool @VladZamfir @VitalikButerin @scott_lew_is @HumanityDAO THIS IS ALL A SIGNAL HOPE YOU CAN UNDERSTAND. RAD… https://t.co/MaZVk9NdD8
Tue May 21 00:34:44 +0000 2019,@nanexcool @VladZamfir @VitalikButerin @scott_lew_is @HumanityDAO WHO WILL STAKE MONEY THAT I AM WRONG INSTEAD OF B… https://t.co/GG7ZNkkGhG
Tue May 21 00:35:31 +0000 2019,@nanexcool @VladZamfir @VitalikButerin @scott_lew_is @HumanityDAO NO MORE BEING NICE (SIGNAL). YOU ARE ALLOWED TO B… https://t.co/21zL5PmsMt
Tue May 21 00:36:03 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO WHY CAN'T YOU SEPARATE CAPS FROM A… https://t.co/P0mAGucCM8
Tue May 21 00:36:32 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO AM WILLING TO DISCUSS WITH ANYONE… https://t.co/u50ksDXYci
Tue May 21 00:37:28 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO I'M SORRY I'M TRYING TO MAKE A POI… https://t.co/GHCRbUuuIo
Tue May 21 00:38:38 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO IVE EXPLAINED THE CONSENSUS ELSEWH… https://t.co/ajfVDBbBcs
